[escenario],[kpi],[valor]
Todos,Evaluados,14666
Todos,Promedio Global,399.8251056866221
Todos,Percentil 75 Colegio,433
Todos,Mediana Global,401
Año 2024,Evaluados,3509
Año 2024,Promedio Global,405.3585066970647
Año 2024,Promedio Global AA,400.6564467560909
Año 2024,Variacion Interanual,0.01173588988532188
Año 2024,Percentil 75 Distrital,440
Año 2024,Pct Estudiantes >= P75 Distrital,0.2519236249643773
Año 2024,Diferencial Sector,-21.76727041689071
Año 2024,Diferencial Zona,19.972349672340897
Año 2024,Promedio Distrito,405.3585066970647
Año 2024 · Matemáticas,Promedio Area,80.7600455970362
Año 2024 · Matemáticas,Promedio Distrito Area,80.7600455970362
ABC 2024,Evaluados,128
ABC 2024,Promedio Global,407.1796875
ABC 2024,Brecha vs Distrito,1.8211808029353165
ABC 2024,Pct Estudiantes >= P75 Distrital,0.21875
Femenino estrato 1 2024,Promedio Global,382.6666666666667
Femenino estrato 1 2024,Evaluados,390
