[escenario],[kpi],[valor]
ABC 2024 · Global,Evaluados Colegio,128
ABC 2024 · Global,Promedio Colegio,407.1796875
ABC 2024 · Global,Mediana Colegio,404.5
ABC 2024 · Global,Percentil 90 Colegio,469.5
ABC 2024 · Global,Promedio Distrito,405.3585066970647
ABC 2024 · Global,Brecha vs Distrito,1.8211808029353165
ABC 2021-2024 · Global,Promedio Colegio,398.00110619469024
ABC 2021-2024 · Global,Evaluados Colegio,904
ABC 2024 · Matemáticas · estrato 1,Promedio Operativo,80.28571428571429
ABC 2024 · Matemáticas · estrato 1,Evaluados Visible,28
ABC 2024 · Matemáticas · estrato 1,Promedio Distrito Categoria,76.27307692307693
ABC 2024 · Global · sexo Femenino,Promedio Operativo,406.09375
ABC 2024 · Global · grupo 11-2,Promedio Operativo,407.4901960784314
