dimension,grupo,n,rmse,mae,sesgo_medio,r2,sd_real,rmse_ic_inferior,rmse_ic_superior,sesgo_ic_inferior,sesgo_ic_superior,sesgo_relativo_ic_inferior,sesgo_relativo_ic_superior,concluyente,sesgo_significativo,sesgo_especifico
sexo,Femenino,1758,40.48223231895579,32.37371252241648,-2.2654173160357867,0.24945358727862788,46.741132491508026,39.14175382809025,41.73595288009792,-4.426257492571112,-0.06549153287226915,-1.2675773815349172,1.50156714476482,True,True,False
sexo,Masculino,1751,41.575063342289944,33.663408191343294,-2.4946158844831365,0.2509015053570539,48.04934879260071,39.7592104343264,43.11414077077469,-4.502533579160529,-0.5081730449621442,-1.5084642991241535,1.2722036967983852,True,True,False
estrato,1,780,41.76812320318147,33.318288470387685,-1.7549110763101423,0.11189891019993237,44.349868070458655,39.874113821798424,43.48549481696146,-5.033744672227282,1.3322468022569829,-1.9084505372777247,2.9194488547814035,True,False,False
estrato,2,774,42.364991905840306,33.88998957057507,-1.497047822610396,0.10189824854335783,44.73269764533157,39.70658941517777,44.46312218597381,-3.7188193730708945,0.7346120455169813,-1.446454610573783,3.2137374864568358,True,False,False
estrato,3,765,41.758603912575346,33.6881408484292,-2.149828423399672,0.10200231432475448,44.09531002131852,39.91095364743007,43.73367460516486,-4.880188797122566,0.8871485108598429,-2.057285808775568,2.540605715135888,True,False,False
estrato,4,493,40.071542973016086,32.402317694872806,-3.44106768265466,0.08988478764139629,42.04639703493966,37.55068070074371,42.57671459269437,-7.843483906963564,1.1085265663265198,-4.855793918735538,2.5930266729643483,True,False,False
estrato,5,418,39.81924865461123,32.24314166560663,-1.1007633841335924,0.17139702709048,43.79655301576058,36.89625207606104,42.84923649626269,-4.833475211981453,2.943818986811781,-2.281462086588306,4.7469087788702575,True,False,False
estrato,6,279,36.381294105001395,30.161626645442958,-7.247118978785628,0.04581595868743993,37.31141954298756,32.6494325083547,39.784882676407236,-11.59779428536873,-3.504675797687869,-9.257860362636185,-0.7305376019939196,True,True,True
zona,Rural,1835,42.58516416140228,34.39067007805631,-1.9953799395914702,0.21754761198598416,48.15570376754937,41.226250872575676,44.08010462540563,-3.8688028178090237,-0.14205769493273648,-1.1460231249457273,1.9993845346868357,True,True,False
zona,Urbana,1674,39.25716480103635,31.511788986987433,-2.8011671840923174,0.21267821558782618,44.2560402517738,37.875453293875836,40.49846074582983,-5.457964167026547,-0.07496678292208095,-2.2421310321590346,1.2992450241170674,True,True,False
naturaleza_colegio,Privada,1850,40.244568893486985,32.42345926266267,-2.8031394820547684,0.2125146797486056,45.36317617590601,39.22890689109854,41.161585639175065,-5.457745514779624,-0.15849940499584356,-2.00267325737139,1.0797955854670218,True,True,False
naturaleza_colegio,Pública,1659,41.89097130005566,33.67945432279949,-1.907696210680871,0.20447408806720502,46.981209700016905,39.33750866299832,43.850980740700535,-3.4690569886098523,-0.37808597249454245,-1.0275378762589449,2.1825831298383127,True,True,False
modelo_pedagogico,Aprendizaje basado en proyectos,884,41.561287364018526,33.034089012503586,-1.1906413005387173,0.22800272271948574,47.328951973294465,38.66149961773064,44.70879774407037,-4.397935058179272,2.084763995095438,-1.749094485183796,4.116616828755368,True,False,False
modelo_pedagogico,Constructivista,888,39.637194550936755,31.98320227509527,-3.6365053359187924,0.2837994195717104,46.863017249877466,37.710789890795176,42.15697367809317,-9.360518436881136,0.8958623556913407,-5.970600270998457,2.631722480630095,True,False,False
modelo_pedagogico,Pedagogía conceptual,825,40.66601566795761,32.48326273296838,-1.501457997432787,0.2511948610211302,47.02302716593426,34.82719416474344,43.04265992206725,-4.750485216922479,0.5802899366590734,-1.494160767133235,2.9082837212856703,True,False,False
modelo_pedagogico,Tradicional,912,42.16162382124416,34.49090383269035,-3.1033218853801787,0.23149408469749955,48.12070178190519,40.979217394842884,44.782810439169154,-5.267475253879085,0.4164950100327798,-3.1224522171927065,1.866123806086819,True,False,False
nombre_colegio,ABC,128,34.82719416474342,26.972512772350903,-4.7504852169224785,0.27518065771162614,41.06829986065751,30.350416497261044,38.98839743116002,-10.205317118374328,1.42135411259983,-7.676142598487174,3.8314708872620864,True,False,False
