modelo,r2,rmse,mae,fold_n,n_entrena,n_valida,parametros,colegios_valida
baseline_media,-0.0653566978822051,46.4555060977345,37.90768877741996,1,9022,2135,{},"ABC, HIJ, PQR"
baseline_media,-0.059552055981074936,47.87965254610376,37.800897359075165,2,9037,2120,{},"GHI, XYZ, YZA"
baseline_media,-0.022042839798136704,45.236153430781705,36.637641776385024,3,8412,2745,{},"KLM, RST, STU, VWX"
baseline_media,-0.0928631681401062,48.76224270049914,39.999980448427245,4,9078,2079,{},"EFG, MNO, NOP"
baseline_media,-0.2240341982693299,52.75865491973884,41.62964534068985,5,9079,2078,{},"BCD, DEF, JKL"
ridge,0.20502583902212657,40.129724845492206,32.30566657411202,1,9022,2135,{'modelo__alpha': 100.0},"ABC, HIJ, PQR"
ridge,0.19796766411525013,41.65678799515479,32.973134918746176,2,9037,2120,{'modelo__alpha': 100.0},"GHI, XYZ, YZA"
ridge,0.15735862336152506,41.07452111925925,32.82154041911249,3,8412,2745,{'modelo__alpha': 100.0},"KLM, RST, STU, VWX"
ridge,0.234912063775229,40.79965155111506,32.70845462188468,4,9078,2079,{'modelo__alpha': 0.01},"EFG, MNO, NOP"
ridge,0.1480484812166044,44.01537229176246,35.02625623890486,5,9079,2078,{'modelo__alpha': 50.0},"BCD, DEF, JKL"
lasso,0.2072099503487217,40.07456074420629,32.296414943319576,1,9022,2135,{'modelo__alpha': 0.3},"ABC, HIJ, PQR"
lasso,0.19918357097875827,41.625199501907744,32.95135235823621,2,9037,2120,{'modelo__alpha': 0.001},"GHI, XYZ, YZA"
lasso,0.1614970893540001,40.973532288091306,32.736941339967984,3,8412,2745,{'modelo__alpha': 0.3},"KLM, RST, STU, VWX"
lasso,0.2349434370461454,40.79881502528371,32.70805443816479,4,9078,2079,{'modelo__alpha': 0.001},"EFG, MNO, NOP"
lasso,0.16292723660660824,43.629330065848634,34.407043370290616,5,9079,2078,{'modelo__alpha': 1.0},"BCD, DEF, JKL"
xgboost,0.2166819349562118,39.834442798360655,32.11445559785294,1,9022,2135,"{'modelo__subsample': 0.7, 'modelo__reg_lambda': 5.0, 'modelo__n_estimators': 600, 'modelo__min_child_weight': 1, 'modelo__max_depth': 2, 'modelo__learning_rate': 0.02, 'modelo__colsample_bytree': 0.7}","ABC, HIJ, PQR"
xgboost,0.1863927244129031,41.95630681825521,33.19773389708321,2,9037,2120,"{'modelo__subsample': 0.9, 'modelo__reg_lambda': 20.0, 'modelo__n_estimators': 200, 'modelo__min_child_weight': 1, 'modelo__max_depth': 2, 'modelo__learning_rate': 0.05, 'modelo__colsample_bytree': 0.7}","GHI, XYZ, YZA"
xgboost,0.15682481250136937,41.08752935422022,32.84944578076972,3,8412,2745,"{'modelo__subsample': 0.7, 'modelo__reg_lambda': 5.0, 'modelo__n_estimators': 600, 'modelo__min_child_weight': 1, 'modelo__max_depth': 2, 'modelo__learning_rate': 0.02, 'modelo__colsample_bytree': 0.7}","KLM, RST, STU, VWX"
xgboost,0.23924758133657575,40.68388779257458,32.68666253541742,4,9078,2079,"{'modelo__subsample': 0.9, 'modelo__reg_lambda': 5.0, 'modelo__n_estimators': 400, 'modelo__min_child_weight': 5, 'modelo__max_depth': 2, 'modelo__learning_rate': 0.05, 'modelo__colsample_bytree': 1.0}","EFG, MNO, NOP"
xgboost,0.14912544478444256,43.98754327714492,34.92353831081005,5,9079,2078,"{'modelo__subsample': 0.7, 'modelo__reg_lambda': 1.0, 'modelo__n_estimators': 600, 'modelo__min_child_weight': 1, 'modelo__max_depth': 4, 'modelo__learning_rate': 0.02, 'modelo__colsample_bytree': 0.7}","BCD, DEF, JKL"
